timestamp,station,destination,line,train_number,departure_time,status,track,car_sections,occupancy_light,occupancy_medium,occupancy_heavy,occupancy_no_data
2025-01-03 22:01:02,Secaucus Upper,New York,M&E,6674,9:54 PM,,2,3,0,0,0,3
2025-01-03 22:01:02,Secaucus Upper,New York,NEC,3880,9:59 PM,,2,3,0,0,0,5
2025-01-03 22:01:02,Secaucus Upper,Dover,M&E,6675,10:01 PM,,3,3,0,0,0,6
2025-01-03 22:01:02,Secaucus Upper,Jersey Avenue ✈,NEC,3737,10:17 PM,,3,0,0,0,0,0
2025-01-03 22:01:02,Secaucus Upper,Trenton,NEC,3979,10:21 PM,,3,0,0,0,0,0
2025-01-03 22:01:02,Secaucus Upper,New York,NEC,3984,10:21 PM,,2,0,0,0,0,0
2025-01-03 22:01:02,Secaucus Upper,Dover,M&E,6677,10:23 PM,,3,0,0,0,0,0
2025-01-03 22:01:02,Secaucus Upper,New York,NEC,3882,10:28 PM,,2,3,0,0,0,4
2025-01-03 22:01:02,Secaucus Upper,Long Branch ✈,NJCL,3293,10:33 PM,,3,0,0,0,0,0
2025-01-03 22:01:02,Secaucus Upper,New York,NJCL,3284,10:34 PM,,2,3,0,0,0,3
2025-01-03 22:01:02,Secaucus Upper,Trenton ✈,NEC,3893,10:47 PM,,3,0,0,0,0,0
2025-01-03 22:01:02,Secaucus Upper,New York,M&E,6676,10:47 PM,,2,3,0,0,0,4
2025-01-03 22:01:02,Secaucus Upper,MSU,MOBO,6297,10:51 PM,,3,0,0,0,0,0
2025-01-03 22:01:02,Secaucus Upper,High Bridge,RARV,5197,10:57 PM,,3,0,0,0,0,0
2025-01-03 22:01:02,Secaucus Upper,New York,MOBO,6278,11:03 PM,,2,0,0,0,0,0
2025-01-03 22:01:02,Secaucus Upper,Dover,M&E,6679,11:05 PM,,3,0,0,0,0,0
2025-01-03 22:01:02,Secaucus Upper,Trenton ✈,NEC,3895,11:16 PM,,3,0,0,0,0,0
2025-01-03 22:01:02,Secaucus Upper,New York,NEC,3886,11:22 PM,,2,0,0,0,0,0
2025-01-03 22:01:02,Secaucus Upper,Long Branch ✈,NJCL,3297,11:28 PM,,3,0,0,0,0,0
2025-01-03 22:01:03,Secaucus Lower,Hoboken,BERG,1184,10:07 PM,,G,2,0,0,0,2
2025-01-03 22:01:03,Secaucus Lower,Port Jervis,MAIN,67,10:09 PM,,F,3,0,0,0,4
2025-01-03 22:01:03,Secaucus Lower,Hoboken,PASC,1634,10:20 PM,,G,3,0,0,0,3
2025-01-03 22:01:03,Secaucus Lower,Waldwick,BERG,1281,10:28 PM,,H,0,0,0,0,0
2025-01-03 22:01:03,Secaucus Lower,Hoboken,MAIN,1136,10:47 PM,,E,0,0,0,0,0
2025-01-03 22:01:03,Secaucus Lower,Hoboken,BERG,1186,11:03 PM,,G,0,0,0,0,0
2025-01-03 22:01:03,Secaucus Lower,Suffern,MAIN,1131,11:06 PM,,F,0,0,0,0,0
2025-01-03 22:01:03,Secaucus Lower,Spring Valley,PASC,1647,11:23 PM,,H,0,0,0,0,0
2025-01-03 22:01:03,Secaucus Lower,Suffern,BERG,1183,11:28 PM,,H,0,0,0,0,0
2025-01-03 22:01:03,Secaucus Lower,Hoboken,BERG,68,11:37 PM,,G,2,0,0,0,2
2025-01-03 22:01:03,Secaucus Lower,Hoboken,MAIN,1234,12:18 AM,,E,0,0,0,0,0
2025-01-03 22:01:03,Secaucus Lower,Suffern,MAIN,1133,12:19 AM,,F,0,0,0,0,0
2025-01-03 22:01:03,Secaucus Lower,Port Jervis,BERG,69,12:50 AM,,F,0,0,0,0,0
2025-01-03 22:01:03,Secaucus Lower,Spring Valley,PASC,2101,12:55 AM,,H,0,0,0,0,0
2025-01-03 22:01:03,Secaucus Lower,Hoboken,PASC,1636,1:07 AM,,G,0,0,0,0,0
2025-01-03 22:01:03,Secaucus Lower,Suffern,MAIN,1701,1:43 AM,,F,0,0,0,0,0
2025-01-03 22:01:05,Newark,Long Branch ✈,NJCL,3289,9:59 PM,,4,3,0,0,0,7
2025-01-03 22:01:05,Newark,Raritan,RARV,5155,10:08 PM,,5,3,0,0,0,4
2025-01-03 22:01:05,Newark,New York -SEC,NEC,3984,10:14 PM,,2,0,0,0,0,0
2025-01-03 22:01:05,Newark,New York -SEC,NEC,3882,10:21 PM,,1,3,0,0,0,4
2025-01-03 22:01:05,Newark,Philadelphia,AMTK,A177,10:22 PM,,3,0,0,0,0,0
2025-01-03 22:01:05,Newark,Jersey Avenue ✈,NEC,3737,10:26 PM,,4,0,0,0,0,0
2025-01-03 22:01:05,Newark,New York -SEC,NJCL,3284,10:27 PM,,1,3,0,0,0,3
2025-01-03 22:01:05,Newark,Trenton,NEC,3979,10:30 PM,,3,0,0,0,0,0
2025-01-03 22:01:05,Newark,Long Branch ✈,NJCL,3293,10:43 PM,,4,0,0,0,0,0
